method,time,memory,ram
load_dataset,2.182844638824463,194732032,0
split,11.357089519500732,59551744,0
groupby,1.4990043640136719,37588992,0
cast_columns_types,0.16840553283691406,0,0
round,0.9186694622039795,82853888,0
cast_columns_types,1.3747823238372803,30355456,0
change_date_time_format,0.8312313556671143,45445120,0
replace,9.442180633544922,372375552,0
get_columns,0.002652406692504883,0,0
locate_null_values,1.524411678314209,173735936,0
is_unique,7.62491250038147,0,0
is_unique,0.959336519241333,12431360,0
sort,14.150561094284058,61337600,0
