method,time,memory,ram
load_dataset,1.86983323097229,187822080,0
split,9.013138771057129,71729152,0
groupby,1.03367280960083,45072384,0
cast_columns_types,0.15223455429077148,0,0
round,1.2604434490203857,60395520,0
cast_columns_types,1.328284502029419,18096128,0
change_date_time_format,0.5551373958587646,116346880,0
replace,10.179126739501953,244920320,0
get_columns,0.013448476791381836,0,0
locate_null_values,1.9191505908966064,160268288,0
is_unique,7.841414451599121,61976576,0
is_unique,0.7041313648223877,19660800,0
sort,10.646932363510132,20127744,0
