method,time,memory,ram
load_dataset,0.5143780708312988,417202176,0
done,0.0006270408630371094,0,0
split,0.22441983222961426,126976,0
groupby,0.2998173236846924,2285568,0
done,0.6511688232421875,0,0
cast_columns_types,0.35494232177734375,0,0
round,0.30440545082092285,4513792,0
cast_columns_types,0.22887182235717773,0,0
change_date_time_format,0.26088809967041016,0,0
replace,8.855788469314575,299065344,0
done,20.6553635597229,16130048,0
locate_null_values,11.808910608291626,14331904,0
is_unique,9.212381601333618,15167488,0
is_unique,9.820331811904907,815104,0
sort,11.579262971878052,268705792,0
done,22.838399648666382,33677312,0
done,17.985435247421265,0,0
