method,time,memory,ram
load_dataset,23.053711414337158,1271078912,0
done,3.0580623149871826,33390592,0
split,1.2279727458953857,18550784,0
groupby,1.314974069595337,16502784,0
done,2.1590471267700195,260694016,0
cast_columns_types,1.3050577640533447,220971008,0
round,0.9714517593383789,3022848,0
cast_columns_types,0.9067423343658447,9822208,0
change_date_time_format,0.8085713386535645,999424,0
replace,0.953272819519043,0,0
done,1.394822597503662,3936256,0
get_columns,0.6695942878723145,688128,0
locate_null_values,1.4078500270843506,1265664,0
is_unique,7.52017879486084,0,0
is_unique,11.374010801315308,98390016,0
sort,1.8115577697753906,2584576,0
done,1.8093762397766113,8040448,0
done,2.212278366088867,0,0
