method,time,memory,ram
load_dataset,11.352498531341553,830304256,0
done,1.440307855606079,496652288,0
split,0.7564637660980225,105472000,0
groupby,0.5360171794891357,4657152,0
done,1.1413378715515137,16351232,0
cast_columns_types,1.0226690769195557,7016448,0
round,1.29960298538208,5308416,0
cast_columns_types,0.6420681476593018,3461120,0
change_date_time_format,0.7431302070617676,230658048,0
replace,1.363469123840332,300113920,0
done,2.8423545360565186,233299968,0
get_columns,0.5787954330444336,0,0
locate_null_values,1.1480929851531982,0,0
is_unique,4.290038585662842,27885568,0
is_unique,1.6351404190063477,0,0
done,0.674252986907959,712704,0
done,0.6212480068206787,512000,0
