method,time,memory,ram
load_dataset,2.14564847946167,90025984,0
done,0.0009381771087646484,0,0
split,6.6609742641448975,304226304,0
groupby,0.07266807556152344,0,0
done,0.0009233951568603516,0,0
cast_columns_types,0.0009043216705322266,0,0
round,0.012214422225952148,0,0
cast_columns_types,0.000736236572265625,0,0
change_date_time_format,6.777959585189819,23896064,0
replace,0.08759617805480957,3661824,0
done,0.0009016990661621094,0,0
get_columns,0.0009541511535644531,0,0
locate_null_values,0.00707244873046875,0,0
is_unique,0.0007221698760986328,0,0
is_unique,0.0005593299865722656,0,0
done,0.0006682872772216797,0,0
done,0.0006911754608154297,258048,0
