method,time,memory,ram
load_dataset,3.3048083782196045,284934144,0
split,5.923592567443848,34279424,0
groupby,0.08392810821533203,0,0
cast_columns_types,0.033651113510131836,9777152,0
round,0.013495683670043945,8622080,0
cast_columns_types,0.015788793563842773,0,0
change_date_time_format,1.8951749801635742,20353024,0
replace,0.08185577392578125,8617984,0
get_columns,0.0008101463317871094,0,0
locate_null_values,0.7299129962921143,67018752,0
is_unique,0.01978588104248047,0,0
is_unique,0.07724905014038086,0,0
