method,time,memory,ram
load_dataset,2.4231390953063965,288587776,0
split,5.782610893249512,12996608,0
groupby,0.0950157642364502,0,0
cast_columns_types,0.02392292022705078,8273920,0
round,0.007338523864746094,8904704,0
cast_columns_types,0.009608745574951172,0,0
change_date_time_format,1.8345167636871338,20393984,0
replace,0.06972694396972656,7290880,0
get_columns,0.0009582042694091797,0,0
locate_null_values,0.5770199298858643,67727360,0
is_unique,0.005990028381347656,0,0
is_unique,0.04736042022705078,0,0
