method,time,memory,ram
load_dataset,4.007364749908447,286998528,0
split,10.711980819702148,32268288,0
groupby,0.0016133785247802734,0,0
cast_columns_types,0.03986668586730957,0,0
round,0.012948989868164062,8622080,0
cast_columns_types,0.016844987869262695,0,0
change_date_time_format,3.1773688793182373,22183936,0
replace,0.1425318717956543,5484544,0
get_columns,0.0012371540069580078,0,0
locate_null_values,0.9045720100402832,91095040,0
is_unique,0.010480165481567383,0,0
is_unique,0.07563376426696777,0,0
