method,time,memory,ram
load_dataset,3.490920066833496,286552064,0
split,7.547181606292725,8605696,0
groupby,0.0013151168823242188,0,0
cast_columns_types,0.0452420711517334,1691648,0
round,0.014824390411376953,4710400,0
cast_columns_types,0.008432626724243164,0,0
change_date_time_format,2.7633273601531982,20119552,0
replace,0.10165166854858398,9678848,0
get_columns,0.0011181831359863281,0,0
locate_null_values,0.825932502746582,99299328,0
is_unique,0.013537168502807617,0,0
is_unique,0.11004137992858887,225280,0
