method,time,memory,ram
load_dataset,3.0583548545837402,293646336,0
split,7.714764356613159,25505792,0
groupby,0.0022194385528564453,0,0
cast_columns_types,0.06297945976257324,0,0
round,0.008327245712280273,4808704,0
cast_columns_types,0.011980056762695312,200704,0
change_date_time_format,2.856841564178467,18763776,0
replace,0.22893905639648438,7032832,0
get_columns,0.0010514259338378906,0,0
locate_null_values,1.4182956218719482,93892608,0
is_unique,0.025283098220825195,0,0
is_unique,0.1145012378692627,1028096,0
