method,time,memory,ram
load_dataset,2.548981189727783,295895040,0
split,11.099812746047974,12091392,0
groupby,0.0016241073608398438,0,0
cast_columns_types,0.047258853912353516,1486848,0
round,0.016691207885742188,6516736,0
cast_columns_types,0.02047109603881836,0,0
change_date_time_format,3.3631632328033447,25837568,0
replace,0.13174676895141602,9678848,0
get_columns,0.0011289119720458984,0,0
locate_null_values,0.9491698741912842,88297472,0
is_unique,0.013397455215454102,0,0
is_unique,0.15212273597717285,0,0
