method,time,memory,ram
load_dataset,14.837177038192749,707600384,0
done,1.8951072692871094,360951808,0
split,0.8382306098937988,19222528,0
groupby,0.9287781715393066,4505600,0
done,1.535614252090454,1036288,0
cast_columns_types,0.6976273059844971,9216000,0
round,0.5971825122833252,552960,0
cast_columns_types,0.8862123489379883,216047616,0
change_date_time_format,1.064155101776123,274128896,0
replace,0.6464996337890625,0,0
done,1.380540370941162,5685248,0
get_columns,0.35007357597351074,950272,0
locate_null_values,0.8973598480224609,0,0
is_unique,5.1729896068573,387112960,0
is_unique,5.553986310958862,301522944,0
done,0.8335521221160889,18661376,0
done,0.7155084609985352,0,0
