method,time,memory,ram
load_dataset,1.1208360195159912,282951680,0
split,3.327364206314087,20692992,0
groupby,0.20542430877685547,22286336,0
cast_columns_types,0.01834702491760254,0,0
round,0.009897708892822266,0,0
cast_columns_types,0.008045673370361328,1032192,0
change_date_time_format,1.2036497592926025,13754368,0
replace,0.03710150718688965,9678848,0
get_columns,0.00121307373046875,0,0
locate_null_values,0.45331597328186035,67563520,0
is_unique,0.0064542293548583984,3612672,0
is_unique,0.03870105743408203,765952,0
