method,time,memory,ram
load_dataset,1.8276782035827637,292044800,0
split,3.334839105606079,22421504,0
groupby,0.2763538360595703,21250048,0
cast_columns_types,0.021495819091796875,0,0
round,0.011367559432983398,0,0
cast_columns_types,0.010072708129882812,0,0
change_date_time_format,1.2070562839508057,19890176,0
replace,0.04486989974975586,7548928,0
get_columns,0.0003905296325683594,0,0
locate_null_values,0.5229225158691406,71233536,0
is_unique,0.0076372623443603516,0,0
is_unique,0.036331892013549805,0,0
