method,time,memory,ram
load_dataset,7.323893070220947,251576320,0
split,10.349477767944336,12046336,0
groupby,0.7690994739532471,53919744,0
cast_columns_types,0.014927387237548828,0,0
round,2.007864475250244,0,0
cast_columns_types,1.1124777793884277,31219712,0
change_date_time_format,0.11750459671020508,25890816,0
replace,16.557302713394165,219451392,0
get_columns,0.0009443759918212891,0,0
locate_null_values,2.1565661430358887,260280320,0
is_unique,4.071293354034424,0,0
is_unique,0.8858058452606201,1896448,0
sort,18.899993658065796,228175872,0
