method,time,memory,ram
load_dataset,12.30405330657959,690483200,0
done,1.4494330883026123,86077440,0
split,3.234365463256836,269803520,0
groupby,1.4660537242889404,62066688,0
done,1.247504472732544,31178752,0
cast_columns_types,1.1548097133636475,15155200,0
round,0.9812486171722412,9388032,0
cast_columns_types,1.1702876091003418,11845632,0
change_date_time_format,3.7146430015563965,102236160,0
replace,1.1316370964050293,145825792,0
done,1.1940343379974365,63381504,0
get_columns,0.8654091358184814,8200192,0
locate_null_values,2.1399478912353516,16515072,0
is_unique,1.7659871578216553,23347200,0
is_unique,1.3938777446746826,7958528,0
sort,1.0411014556884766,12607488,0
done,0.8773233890533447,0,0
done,0.8547565937042236,1007616,0
