method,time,memory,ram
load_dataset,0.42558717727661133,79659008,0
done,0.0006468296051025391,0,0
split,7.017738103866577,309932032,0
groupby,0.05360841751098633,0,0
done,0.0004138946533203125,0,0
cast_columns_types,0.0003800392150878906,0,0
round,0.0025877952575683594,0,0
cast_columns_types,0.0003566741943359375,0,0
change_date_time_format,6.921244859695435,30183424,0
replace,0.07712340354919434,0,0
done,0.0005877017974853516,0,0
get_columns,0.0009131431579589844,0,0
locate_null_values,0.00170135498046875,0,0
is_unique,0.0006139278411865234,0,0
is_unique,0.0004749298095703125,0,0
sort,0.12845683097839355,0,0
done,0.0005915164947509766,0,0
done,0.00072479248046875,0,0
