method,time,memory,ram
load_dataset,0.3852806091308594,74489856,0
done,0.0005300045013427734,0,0
split,8.374358177185059,309379072,0
groupby,0.06534028053283691,0,0
done,0.0009276866912841797,0,0
cast_columns_types,0.000766754150390625,0,0
round,0.0034804344177246094,0,0
cast_columns_types,0.0008161067962646484,0,0
change_date_time_format,9.886770486831665,25153536,0
replace,0.1017911434173584,0,0
done,0.0005311965942382812,0,0
get_columns,0.0010225772857666016,0,0
locate_null_values,0.0020742416381835938,0,0
is_unique,0.0005509853363037109,0,0
is_unique,0.0005376338958740234,0,0
sort,0.14984416961669922,0,0
done,0.0010123252868652344,0,0
done,0.0007483959197998047,0,0
