method,time,memory,ram
load_dataset,0.9977009296417236,176951296,0
split,5.7191362380981445,55152640,0
groupby,1.8162274360656738,69476352,0
cast_columns_types,0.1310899257659912,0,0
round,0.6337051391601562,1404928,0
cast_columns_types,0.6564171314239502,11943936,0
change_date_time_format,0.35880541801452637,56066048,0
replace,3.4086668491363525,333668352,0
get_columns,0.005429267883300781,0,0
locate_null_values,1.0397613048553467,208756736,0
is_unique,3.094792604446411,0,0
is_unique,0.2714548110961914,15368192,0
