method,time,memory,ram
load_dataset,1.0312473773956299,190181376,0
split,6.068485260009766,63700992,0
groupby,1.6113228797912598,59576320,0
cast_columns_types,0.0932612419128418,0,0
round,0.474348783493042,66605056,0
cast_columns_types,0.4962480068206787,26157056,0
change_date_time_format,0.26838159561157227,22790144,0
replace,3.438729763031006,354099200,0
get_columns,0.0017268657684326172,0,0
locate_null_values,1.1087238788604736,232677376,0
is_unique,2.3238964080810547,0,0
is_unique,0.34422922134399414,21766144,0
