method,time,memory,ram
load_dataset,3.6425564289093018,179400704,0
split,22.143321752548218,61108224,0
groupby,4.156759023666382,41619456,0
cast_columns_types,0.3235173225402832,23568384,0
round,1.6578824520111084,50425856,0
cast_columns_types,2.517455816268921,6975488,0
change_date_time_format,1.4980590343475342,30851072,0
replace,14.521590232849121,372817920,0
get_columns,0.0029840469360351562,0,0
locate_null_values,2.04186749458313,126439424,0
is_unique,13.528779745101929,55410688,0
is_unique,0.8563802242279053,15781888,0
