method,time,memory,ram
load_dataset,2.989849090576172,185843712,0
split,14.83179259300232,61505536,0
groupby,3.0341243743896484,30973952,0
cast_columns_types,0.34518003463745117,13807616,0
round,1.329679250717163,47161344,0
cast_columns_types,1.6979739665985107,17457152,0
change_date_time_format,1.1364467144012451,56377344,0
replace,12.506628513336182,347209728,0
get_columns,0.01886773109436035,0,0
locate_null_values,2.9963912963867188,111800320,0
is_unique,28.611706256866455,16510976,0
is_unique,1.1754539012908936,91217920,0
