method,time,memory,ram
load_dataset,3.6167995929718018,199172096,0
split,5.3692591190338135,11624448,0
groupby,5.0218963623046875,305291264,0
cast_columns_types,0.00549769401550293,0,0
round,0.944260835647583,25513984,0
cast_columns_types,0.6439409255981445,0,0
change_date_time_format,0.02931690216064453,25804800,0
replace,7.814701795578003,114102272,0
get_columns,0.0005125999450683594,0,0
locate_null_values,0.8148980140686035,244641792,0
is_unique,1.0120043754577637,0,0
is_unique,0.8339517116546631,12640256,0
