method,time,memory,ram
load_dataset,4.028759717941284,223571968,0
split,6.833145618438721,9973760,0
groupby,5.244470596313477,288448512,0
cast_columns_types,0.010982513427734375,0,0
round,1.2143011093139648,0,0
cast_columns_types,0.6447961330413818,0,0
change_date_time_format,0.0643761157989502,29933568,0
replace,8.302376747131348,86556672,0
get_columns,0.0004811286926269531,0,0
locate_null_values,0.824169397354126,253198336,0
is_unique,1.8047382831573486,0,0
is_unique,0.4674379825592041,0,0
