method,time,memory,ram
load_dataset,0.5846211910247803,277241856,0
done,0.0012516975402832031,0,0
split,11.839148044586182,167677952,0
groupby,2.621863603591919,31645696,0
done,0.0011584758758544922,0,0
cast_columns_types,0.011883735656738281,0,0
round,0.010257482528686523,0,0
cast_columns_types,0.02833271026611328,0,0
change_date_time_format,3.7570180892944336,224206848,0
replace,0.008568763732910156,229376,0
done,0.0010578632354736328,0,0
get_columns,0.0015559196472167969,0,0
locate_null_values,0.020200729370117188,0,0
is_unique,0.05858755111694336,11079680,0
is_unique,0.3042891025543213,56602624,0
sort,0.08630847930908203,9162752,0
done,0.0006842613220214844,0,0
done,0.0005292892456054688,0,0
