method,time,memory,ram
load_dataset,0.48926520347595215,420331520,0
done,0.0004820823669433594,0,0
split,0.15162301063537598,0,0
groupby,0.11284971237182617,7643136,0
done,0.2300863265991211,0,0
cast_columns_types,0.1357264518737793,0,0
round,0.14975309371948242,6291456,0
cast_columns_types,0.14622116088867188,13025280,0
change_date_time_format,0.20161724090576172,0,0
replace,4.435856103897095,292302848,0
done,10.167306900024414,0,0
locate_null_values,4.977734565734863,0,0
is_unique,4.578242778778076,7479296,0
is_unique,4.965587377548218,0,0
done,8.374865293502808,0,0
done,8.520447731018066,9175040,0
