method,time,memory,ram
load_dataset,1.073399305343628,409923584,0
done,0.00427556037902832,0,0
split,0.5709843635559082,208896,0
groupby,0.7170310020446777,0,0
done,1.350250005722046,3059712,0
cast_columns_types,0.8082275390625,1581056,0
round,0.7513008117675781,0,0
cast_columns_types,0.4059011936187744,851968,0
change_date_time_format,0.7877950668334961,0,0
replace,14.131956577301025,289509376,0
done,20.246313333511353,0,0
locate_null_values,13.432319641113281,0,0
is_unique,12.005903482437134,9326592,0
is_unique,10.326196908950806,0,0
done,20.952738523483276,0,0
done,23.262401580810547,0,0
