method,time,memory,ram
load_dataset,0.8841104507446289,426115072,0
done,0.0020236968994140625,0,0
split,0.2776210308074951,0,0
groupby,0.1999683380126953,1294336,0
done,0.5740711688995361,745472,0
cast_columns_types,0.2213881015777588,0,0
round,0.18195509910583496,4780032,0
cast_columns_types,0.163435697555542,0,0
change_date_time_format,0.27171754837036133,5414912,0
replace,11.105652809143066,377020416,0
done,21.714568376541138,0,0
locate_null_values,9.259517192840576,229376,0
is_unique,9.628798723220825,0,0
is_unique,9.50221061706543,0,0
done,21.009790658950806,22224896,0
done,27.101402282714844,0,0
