method,time,memory,ram
load_dataset,0.2576436996459961,416817152,0
done,0.00044918060302734375,0,0
split,0.12667322158813477,0,0
groupby,0.10621809959411621,4165632,0
done,0.21748900413513184,0,0
cast_columns_types,0.12949323654174805,4173824,0
round,0.11568832397460938,6254592,0
cast_columns_types,0.13209772109985352,425984,0
change_date_time_format,0.21509289741516113,0,0
replace,4.985915899276733,284033024,0
done,9.312538146972656,4857856,0
locate_null_values,4.8549816608428955,0,0
is_unique,4.765907049179077,0,0
is_unique,4.580504417419434,7966720,0
done,10.059227466583252,6311936,0
done,8.41413164138794,0,0
