method,time,memory,ram
input,7.389465808868408,257187840,0
data_transformation,3.4274747371673584,280707072,0
data_cleaning,16.2550630569458,526807040,0
EDA,13.246021270751953,512446464,0
output,0.0005886554718017578,512962560,0
